congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
92,Senate,1,1971-02-10,,,80,0,0.0,0.0,0.0,0.0,0.0,,,,,"TO ADOPT RESOLUTION OF RATIFICATION RESPECTING TREATY OF COOPERATION BETWEEN THE UNITED STATES AND MEXICO PROVIDING FOR THE RECOVERY AND RETURN OF STOLEN ARCHEOLOGICAL, HISTORICAL, AND CULTURAL PROPERTIES.  (EX. K, 91ST CONG., SECOND SESSION.)"
92,Senate,2,1971-02-17,,,76,5,0.103,0.994,0.423,0.873,-9.836,,,,,"TO ADOPT RESOLUTION OF RATIFICATION OF THE CONVENTION OF THE CONVENTION WITH NICARAGUA TERMINATING THE BRYAN-CHAMORRO TREATY OF 1914.  (EX. L, 91ST CONG., SECOND SESSION.)"
92,Senate,3,1971-02-17,,,82,0,0.0,0.0,0.0,0.0,0.0,,,,,"TO ADOPT RESOLUTION OF RATIFICATION OF THE EXTRADITION TREATY WITH SPAIN.  (EX. N, 91ST CONG., SECOND SESSION.)"
92,Senate,4,1971-02-18,,,57,43,-0.09,0.13,0.27,0.86,-25.732,SRES9,,,,"TO CLOSE DEBATE ON S. RES. 9, TO AMEND SENATE RULE XXII SO THAT SENATE DEBATE MAY BE BROUGHT TO A CLOSE BY A VOTE OF THREE-FIFTHS OF THE SENATORS (RATHER THAN TWO-THIRDS AS UNDER THE PRESENT RULE.)"
92,Senate,5,1971-02-23,,,58,42,-0.135,0.22,0.254,0.851,-26.602,SRES9,,,,TO CLOSE DEBATE ON THE MOTION TO CONSIDER S. RES. 9.
92,Senate,6,1971-03-01,,,21,52,0.499,-0.795,-0.289,-0.699,-22.054,SR35,,,,"TO AMEND S. RES. 35 SO AS TO PROVIDE ADDITIONAL FUNDS FOR THE COMMITTEE ON LABOR AND PUBLIC WELFARE IN THE AMOUNT OF $1,172,375, RATHER THAN $1,540,000 AS PROVIDED BY THE COMMITTEE."
92,Senate,7,1971-03-01,,,56,18,0.219,-0.04,0.497,1.055,-11.124,,,,,TO PASS A RESOLUTION PROVIDING FUNDS FOR EXPENSES OF THE SELECT COMMITTEE ON NUTRITION AND HUMAN NEEDS.
92,Senate,8,1971-03-02,,,59,41,0.03,-0.015,0.195,0.598,-31.418,SRES9,,,,TO INVOKE CLOTURE (CLOSE DEBATE) ON THE MOTION TO CONSIDER E. RES. 9.
92,Senate,9,1971-03-09,,,58,42,-0.135,0.22,0.254,0.851,-26.602,SRES9,,,,TO INVOKE CLOTURE ON THE MOTION TO CONSIDER S. RES. 9.
92,Senate,10,1971-03-09,,,57,38,-0.12,-0.119,-0.357,-0.857,-24.011,,,,,TO SUSTAIN THE RULING OF THE CHAIR THAT DEBATE IS NOT CLOSED UNDER SENATE RULE XXII.
92,Senate,11,1971-03-10,,,71,24,-0.416,0.395,-0.293,-0.478,-26.737,SJRES7,,,,"TO TABLE KENNEDY (D, MASS.) AMENDMENT PROVIDING REPRESENTATION OF THE DISTRICT OF COLUMBIA IN THE SENATE AND HOUSE, TO S.J. RES. 7, A BILL PROPOSING A CONSTITUTIONAL AMENDMENT EXTENDING THE RIGHT TO VOTE TO EIGHTEEN-YEAR-OLDS."
92,Senate,12,1971-03-10,,,100,0,0.0,0.0,0.0,0.0,0.0,SJRES7,,,,TO PASS S.J. RES. 7.
92,Senate,13,1971-03-11,,,87,4,0.499,-0.867,0.226,-0.133,-12.328,S575,,,,"TO PASS S. 575, APPALACHIAN REGIONAL DEVELOPMENT ACT AMENDMENTS OF 1971."
92,Senate,14,1971-03-12,,,99,0,0.0,0.0,0.0,0.0,0.0,HR4690,,,,"TO AMEND H.R. 4690, A BILL INCREASING CEILING ON THE PUBLIC DEBT LIMIT, BY PROVIDING FOR SOCIAL SECURITY BENEFITS INCREASE."
92,Senate,15,1971-03-12,,,53,32,0.276,-0.114,0.086,0.485,-39.7,HR4690,,,,"TO TABLE ALLEN (D, ALA.) AMENDMENT REDUCING PROPOSED INCREASE IN PUBLIC DEBT LIMIT IN H.R. 4690."
92,Senate,16,1971-03-12,,,16,68,-0.691,0.722,0.002,-0.702,-28.016,HR4690,,,,TO RECOMMIT H.R. 4690.
92,Senate,17,1971-03-12,,,88,1,0.0,0.0,0.0,0.0,0.0,HR4690,,,,TO PASS H.R. 4690.
92,Senate,18,1971-03-16,,,92,0,0.0,0.0,0.0,0.0,0.0,,,,,TO ADOPT THE CONFERENCE REPORT AND CLEAR FOR THE HOUSE H.R. 4690.
92,Senate,19,1971-03-16,,,37,46,0.266,-0.94,0.071,0.186,-50.463,SJRES17,,,,"TO AMEND S.J. RES. 17, TO ESTABLISH A JOINT COMMITTEE ON THE ENVIRONMENT, BY PERMITTING ALL SENATORS TO BE ELIGIBLE FOR APPOINTMENT TO SUCH COMMITTEE WITHOUT REGARD TO PROVISIONS OF THE LEGISLATIVE REORGANIZATION ACT OF 1970."
92,Senate,20,1971-03-16,,,88,4,0.499,0.149,0.219,0.391,-13.358,SJRES17,,,,TO PASS S.J. RES. 17.
92,Senate,21,1971-03-16,,,56,33,-0.265,0.048,-0.183,-0.611,-34.196,SJRES17,,,,"TO TABLE S. RES. 17, AMENDING SENATE RULE XXIV TO PROVIDE FOR THE INDIVIDUAL NOMINATION AND FOR FINAL ELECTION BY THE SENATE OF CHAIRMEN AND RANKING MINORITY MEMBERS OF SENATE COMMITTEES."
92,Senate,22,1971-03-19,,,93,0,0.0,0.0,0.0,0.0,0.0,S1117,,,,"TO PASS S. 1117, PROHIBITING SUPERSONIC FLIGHTS OF CIVIL AIRCRAFT OVER CONTINENTAL U.S."
92,Senate,23,1971-03-24,,,47,54,0.117,-0.481,-0.103,-0.143,-56.682,HJRES468,,,,"TO AMEND H.J. RES. 468, APPROPRIATIONS BILL FOR THE DEPARTMENT OF TRANSPORTATION, BY RESTORING FUNDS FOR CONTINUING CONSTRUCTION OF PROTOTYPE CIVIL SUPERSONIC TRANSPORT AIRCRAFT."
92,Senate,24,1971-03-24,,,98,1,0.0,0.0,0.0,0.0,0.0,HJRES468,,,,TO PASS H.J. RES. 468.
92,Senate,25,1971-03-30,,,48,47,-0.056,-0.055,-0.276,-0.557,-27.983,HR5432,,,,"TO TABLE BAYH (D, IND.) AMENDMENT PROVIDING FULL FEDERAL PAYMENT OF UNEMPLOYMENT COMPENSATION BENEFITS FOR AN ADDITIONAL 13 WEEKS, TO H.R. 5432, A BILL EXTENDING INTEREST EQUALIZATION TAX."
92,Senate,26,1971-04-01,,,35,55,0.136,-0.991,-0.353,-0.226,-22.088,S31,,,,"TO RECOMMIT S. 31, PROVIDING FEDERAL ASSISTANCE FOR PROGRAMS OF PUBLIC SERVICE EMPLOYMENT DURING PERIODS OF HIGH UNEMPLOYMENT."
92,Senate,27,1971-04-01,,,30,55,0.169,-0.986,-0.301,-0.124,-22.227,S31,,,,TO AMEND S. 31 BY REMOVING FROM THE BILL THE REQUIREMENT THAT THE FEDERAL MINIMUM WAGE BE PAID.
92,Senate,28,1971-04-01,,,32,50,0.055,0.175,-0.281,-0.085,-20.168,S31,,,,TO AMEND S. 31 BY SETTING $600 PER MONTH AS MAXIMUM SALARY PAID TO PERSONS EMPLOYED IN PUBLIC SERVICE JOBS.
92,Senate,29,1971-04-01,,,76,16,0.309,-0.225,0.624,0.841,-13.0,S31,,,,TO PASS S. 31.
92,Senate,30,1971-04-05,,,15,62,-0.406,0.82,0.063,-0.197,-33.64,S581,,,,"TO AMEND S. 581, A BILL EXPANDING EXPORT TRADE OF THE UNITED STATES, BY KEEPING THE EXPORT-IMPORT BANK IN THE FEDERAL BUDGET AS IT IS IN THE PRESENT TIME."
92,Senate,31,1971-04-05,,,3,72,-0.521,0.385,0.615,-0.996,-2.38,S581,,,,TO AMEND S. 581 BY GIVING THE PRESIDENT DISCRETIONARY AUTHORITY TO EXEMPT CERTAIN LOAN PROGRAMS FROM THE BUDGET.
92,Senate,32,1971-04-05,,,80,1,0.0,0.0,0.0,0.0,0.0,S581,,,,TO PASS S. 581.
92,Senate,33,1971-04-19,,,84,0,0.0,0.0,0.0,0.0,0.0,,,,,"TO ADVISE AND CONSENT TO THE RATIFICATION OF ADDITIONAL PROTOCOL II TO THE TREATY FOR THE PROHIBITION OF NUCLEAR WEAPONS IN LATIN AMERICA.  (EX. H, 91-2)"
92,Senate,34,1971-04-20,,,38,49,0.403,0.72,-0.15,0.297,-34.426,S1557,,,,"TO TABLE RIBICOFF AMENDMENT TO S. 1557, EMERGENCY SCHOOL AID AND QUALITY INTEGRATED EDUCATION ACT OF 1971, AUTHORIZING ADDITIONAL FUNDS FOR TITLE I AND PROVIDING FEDERAL ASSISTANCE FOR PLANS TO TERMINATE MINORITY GROUP ISOLATION IN PUBLIC SCHOOLS."
92,Senate,35,1971-04-21,,,38,55,-0.121,-0.993,0.122,0.032,-48.713,S1557,,,,"TO AMEND S. 1557, EMERGENCY SCHOOL AID AND QUALITY INTEGRATED EDUCATION ACT OF 1971, BY AUTHORIZING ADDITIONAL FUNDS FOR TITLE I, AND BY PROVIDING FEDERAL ASSISTANCE FOR PLANS TO TERMINATE MINORITY GROUP ISOLATION IN PUBLIC SCHOOLS."
92,Senate,36,1971-04-21,,,49,42,-0.276,0.55,-0.373,-0.582,-21.041,S1557,,,,TO AMEND S. 1557 BY STRIKING FROM THE BILL A SECTION AUTHORIZING FUNDS FOR ATTORNEY'S FEES.
92,Senate,37,1971-04-22,,,23,67,0.154,0.174,-0.165,-0.891,-20.135,S1557,,,,TO AMEND S. 1557 BY PROVIDING THAT FEDERAL FUNDS FOR EDUCATION BE DIVIDED AMONG ALL THE STATES IN PROPORTION TO SCHOOL POPULATION.
92,Senate,38,1971-04-22,,,47,42,-0.384,0.384,-0.193,-0.748,-35.021,S1557,,,,TO AMEND S. 1557 BY ESTABLISHING UNIFORM GUIDELINES IN ALL REGIONS OF THE U.S. IN DEALING WITH CONDITIONS OF SCHOOL SEGREGATION PRACTICES.
92,Senate,39,1971-04-23,,,41,33,0.101,-0.225,0.198,0.784,-21.89,S1557,,,,TO AMEND S. 1557 BY REQUIRING STATE OR LOCAL EDUCATIONAL AGENCIES TO PAY ATTORNEYS' FEES WHEN FEDERAL COURTS RULE THAT SUCH AGENCIES DISCRIMINATE BY RACE OR FAIL TO COMPLY WITH THIS ACT.
92,Senate,40,1971-04-26,,,15,73,-0.053,0.664,-0.077,-0.636,-21.017,S1557,,,,TO AMEND S. 1557 BY BARRING USE OF FEDERAL FUNDS BY PRIVATE NONPROFIT RELIGIOUS ORGANIZATIONS FOR THE PURPOSE OF RELIGIOUS TRAINING.
92,Senate,41,1971-04-26,,,14,75,-0.235,0.824,-0.061,-0.612,-21.385,S1557,,,,TO AMEND EN BLOC S. 1557 BY DENYING FEDERAL FUNDS TO PRIVATE NONPROFIT SCHOOLS WHICH DISCRIMINATE AGAINST TEACHERS OR STUDENTS ON THE GROUNDS OF RELIGION.
92,Senate,42,1971-04-26,,,34,58,-0.047,0.173,-0.41,-1.857,-13.152,S1557,,,,TO AMEND S. 1557 BY ALLOWING PARENTS THE RIGHT TO CHOOSE THE PUBLIC SCHOOL WHICH THEIR CHILDREN WILL ATTEND.
92,Senate,43,1971-04-26,,,38,54,-0.142,0.248,-0.477,-1.792,-14.602,S1557,,,,TO AMEND S. 1557 TO PROHIBIT THE BUSING OF CHILDREN TO EFFECT THE RACIAL COMPOSITION OF SCHOOLS.
92,Senate,44,1971-04-26,,,36,55,-0.121,0.247,-0.493,-1.793,-13.677,S1557,,,,TO AMEND S. 1557 BY ALLOWING ALL SCHOOL CHILDREN THE RIGHT TO ATTEND THE PUBLIC SCHOOL NEAREST THEIR HOME.
92,Senate,45,1971-04-26,,,84,8,0.155,0.651,0.338,1.639,-6.406,S1557,,,,TO PASS S. 1557.
92,Senate,46,1971-05-03,,,35,41,0.111,0.537,-0.219,0.22,-16.754,HR4246,,,,"TO AMEND H.R. 4246, A BILL EXTENDING CERTAIN LAWS RELATING TO PAYMENT OF INTEREST ON TIME AND SAVINGS DEPOSITS AND ECONOMIC STABILIZATION, BY REQUESTING APPROVAL OF CONGRESS PRIOR TO THE INSTITUTING OF WAGE AND PRICE CONTROLS BY THE PRESIDENT."
92,Senate,47,1971-05-03,,,76,4,-0.836,-0.534,-0.164,-0.076,-15.507,HR4246,,,,TO PASS H.R. 4246.
92,Senate,48,1971-05-19,,,27,68,-0.186,0.964,0.215,-0.157,-32.81,HR6531,,,,"TO AMEND MANSFIELD AMENDMENT (CALLING FOR REDUCTION OF FUNDS FOR U.S. TROOPS IN EUROPE) TO H.R. 6531, A BILL TO AMEND THE SELECTIVE SERVICE ACT, BY CALLING FOR EARLY NEGOTIATIONS BETWEEN NATO AND WARSAW PACT COUNTRIES FOR MUTUAL REDUCTION OF FORCES AND ARMAMENTS IN EUROPE."
92,Senate,49,1971-05-19,,,13,86,-0.488,-0.191,0.166,0.057,-30.356,HR6531,,,,TO AMEND MANSFIELD AMENDMENT TO H.R. 6531 BY REDUCING AMERICAN MILITARY FORCES IN EUROPE.
