congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
111,President,99911,99,0,USA,100,0,0,"OBAMA, Barack",O000167,1961,,-0.354,-0.203,-16.3706,0.923,203,6,,,
111,Senate,49700,41,0,AL,200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,1946,,0.549,0.13,-78.71552,0.87589,594,32,,0.53,-0.241
111,Senate,94659,41,0,AL,200,0,1,"SHELBY, Richard C.",S000320,1934,,0.429,0.519,-139.70125,0.79591,612,75,,0.386,0.414
111,Senate,40300,81,0,AK,200,0,1,"MURKOWSKI, Lisa",M001153,1957,,0.211,-0.291,-156.16383,0.76606,586,73,,0.218,-0.211
111,Senate,40900,81,0,AK,100,0,1,"BEGICH, Mark",B001265,1962,,-0.235,0.15,-87.37909,0.864,600,35,,-0.238,0.195
111,Senate,15039,61,0,AZ,200,0,1,"McCAIN, John Sidney, III",M000303,1936,2018.0,0.381,-0.626,-106.88463,0.83855,607,43,,0.499,-0.508
111,Senate,15429,61,0,AZ,200,0,1,"KYL, Jon Llewellyn",K000352,1942,,0.548,-0.413,-85.06927,0.86943,608,39,,0.532,-0.506
111,Senate,29305,42,0,AR,100,0,1,"LINCOLN, Blanche Lambert",L000035,1960,,-0.166,0.178,-164.80066,0.757,592,78,,-0.112,0.247
111,Senate,40301,42,0,AR,100,0,1,"PRYOR, Mark",P000590,1963,,-0.199,0.463,-109.64356,0.836,612,50,,-0.194,0.342
111,Senate,15011,71,0,CA,100,0,1,"BOXER, Barbara",B000711,1940,,-0.45,-0.423,-71.07957,0.889,607,23,,-0.338,-0.282
111,Senate,49300,71,0,CA,100,0,1,"FEINSTEIN, Dianne",F000062,1933,,-0.268,-0.192,-75.34535,0.88452,614,27,,-0.336,-0.204
111,Senate,29906,62,0,CO,100,0,1,"UDALL, Mark",U000038,1950,,-0.353,0.049,-140.65982,0.794,611,56,,-0.237,-0.241
111,Senate,40500,62,0,CO,100,1,1,"SALAZAR, Kenneth Lee",S001163,1955,,-0.223,0.042,,,,,,-0.592,0.549
111,Senate,40910,62,0,CO,100,2,5,"BENNET, Michael F.",B001267,1964,,-0.221,-0.16,-115.28578,0.82702,607,50,,-0.211,-0.129
111,Senate,14213,1,0,CT,100,0,1,"DODD, Christopher John",D000388,1944,,-0.328,-0.317,-50.73445,0.919,601,18,,-0.367,-0.095
111,Senate,15704,1,0,CT,100,0,1,"LIEBERMAN, Joseph I.",L000304,1942,,-0.205,-0.312,-143.51583,0.787,599,62,,-0.209,-0.384
111,Senate,14101,11,0,DE,100,1,1,"BIDEN, Joseph Robinette, Jr.",B000444,1942,,-0.314,-0.042,,,,,,-0.741,0.672
111,Senate,15015,11,0,DE,100,0,1,"CARPER, Thomas Richard",C000174,1947,,-0.175,-0.227,-128.7732,0.81025,612,52,,-0.259,-0.106
111,Senate,40901,11,0,DE,100,2,5,"KAUFMAN, Edward E. (Ted)",K000373,1939,,-0.391,-0.126,-52.71229,0.91,562,19,,-0.389,-0.134
111,Senate,40916,11,0,DE,100,3,2,"COONS, Christopher A.",C001088,1963,,-0.226,-0.222,-3.82131,0.91682,44,1,,-0.396,0.09
111,Senate,14651,43,0,FL,100,0,1,"NELSON, Clarence William (Bill)",N000032,1942,,-0.193,0.337,-111.42153,0.8318,605,46,,-0.219,-0.03
111,Senate,40501,43,0,FL,200,1,1,"MARTINEZ, Melquiades R. (Mel)",M001162,1946,,0.333,-0.417,-78.9308,0.713,233,38,,0.288,-0.306
111,Senate,40911,43,0,FL,200,2,5,"LEMIEUX, George S.",L000572,1969,,0.34,0.081,-71.21728,0.821,360,31,,0.339,0.091
111,Senate,29512,44,0,GA,200,0,1,"CHAMBLISS, Saxby",C000286,1943,,0.423,0.205,-83.19101,0.868,588,34,,0.476,0.096
111,Senate,29909,44,0,GA,200,0,1,"ISAKSON, Johnny",I000055,1944,,0.402,-0.011,-100.81701,0.83279,551,39,,0.433,-0.08
111,Senate,4812,82,0,HI,100,0,1,"INOUYE, Daniel Ken",I000025,1924,2012.0,-0.319,0.062,-43.66876,0.931,612,19,,-0.397,0.102
111,Senate,14400,82,0,HI,100,0,1,"AKAKA, Daniel Kahikina",A000069,1924,,-0.419,0.273,-42.8555,0.933,615,20,,-0.428,0.39
111,Senate,29345,63,0,ID,200,0,1,"CRAPO, Michael Dean",C000880,1951,,0.511,0.295,-78.515,0.87904,609,32,,0.508,0.508
111,Senate,40902,63,0,ID,200,0,1,"RISCH, James",R000584,1943,,0.632,0.569,-70.3553,0.8914,612,37,,0.533,0.592
111,Senate,15021,21,0,IL,100,0,1,"DURBIN, Richard Joseph",D000563,1944,,-0.351,-0.319,-47.6341,0.92512,612,15,,-0.5,-0.362
111,Senate,20115,21,0,IL,200,3,2,"KIRK, Mark Steven",K000360,1959,,0.274,-0.647,,,,,,0.33,-0.705
111,Senate,40903,21,0,IL,100,2,5,"BURRIS, Roland",B001266,1937,,-0.468,0.044,-26.54473,0.954,564,9,,-0.468,0.078
111,Senate,14506,22,0,IN,200,0,1,"LUGAR, Richard Green",L000504,1932,,0.304,-0.466,-172.99602,0.753,611,85,,0.26,-0.496
111,Senate,49901,22,0,IN,100,0,1,"BAYH, Evan",B001233,1955,,-0.158,-0.142,-340.29728,0.559,585,152,,-0.073,-0.073
111,Senate,14226,31,0,IA,200,0,1,"GRASSLEY, Charles Ernest",G000386,1933,,0.346,-0.065,-150.09701,0.78375,616,70,,0.387,0.003
111,Senate,14230,31,0,IA,100,0,1,"HARKIN, Thomas Richard (Tom)",H000206,1939,,-0.351,-0.546,-60.00287,0.906,608,26,,-0.518,-0.439
