congress,chamber,rollnumber,icpsr,cast_code,prob
111,Senate,1,1366,1,100.0
111,Senate,1,4812,1,100.0
111,Senate,1,10808,9,100.0
111,Senate,1,14009,1,81.9
111,Senate,1,14101,9,100.0
111,Senate,1,14203,1,100.0
111,Senate,1,14213,1,100.0
111,Senate,1,14226,6,38.0
111,Senate,1,14230,1,100.0
111,Senate,1,14307,1,100.0
111,Senate,1,14400,1,100.0
111,Senate,1,14440,1,100.0
111,Senate,1,14503,1,56.6
111,Senate,1,14506,1,43.6
111,Senate,1,14651,1,100.0
111,Senate,1,14661,1,91.2
111,Senate,1,14709,1,100.0
111,Senate,1,14812,1,100.0
111,Senate,1,14826,9,N/A
111,Senate,1,14852,9,N/A
111,Senate,1,14858,1,100.0
111,Senate,1,14871,1,100.0
111,Senate,1,14910,9,N/A
111,Senate,1,14912,1,100.0
111,Senate,1,14914,1,100.0
111,Senate,1,14920,1,100.0
111,Senate,1,14921,9,N/A
111,Senate,1,14922,1,100.0
111,Senate,1,15011,1,100.0
111,Senate,1,15015,1,100.0
111,Senate,1,15021,1,100.0
111,Senate,1,15039,6,85.9
111,Senate,1,15054,1,100.0
111,Senate,1,15406,9,N/A
111,Senate,1,15408,1,100.0
111,Senate,1,15424,6,78.7
111,Senate,1,15425,1,100.0
111,Senate,1,15429,9,N/A
111,Senate,1,15501,9,N/A
111,Senate,1,15502,1,100.0
111,Senate,1,15703,1,100.0
111,Senate,1,15704,1,100.0
111,Senate,1,29142,1,100.0
111,Senate,1,29147,1,100.0
111,Senate,1,29305,1,100.0
111,Senate,1,29345,1,44.8
111,Senate,1,29373,1,100.0
111,Senate,1,29389,9,100.0
111,Senate,1,29512,9,N/A
111,Senate,1,29523,6,78.7
111,Senate,1,29534,1,76.7
111,Senate,1,29537,9,N/A
111,Senate,1,29548,9,N/A
111,Senate,1,29555,6,95.3
111,Senate,1,29566,9,N/A
111,Senate,1,29732,1,100.0
111,Senate,1,29754,6,41.5
111,Senate,1,29906,1,100.0
111,Senate,1,29909,6,49.2
111,Senate,1,29918,9,N/A
111,Senate,1,29924,1,100.0
