congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
114,Senate,1,2015-01-08,1,1,31,66,-0.236,-0.142,0.392,0.266,-15.568,HR26,Amendment Rejected,In the nature of a substitute.,On the Amendment,
114,Senate,2,2015-01-08,1,2,93,4,-0.334,-0.915,-0.117,-0.604,-12.433,HR26,Bill Passed,"A bill to extend the termination date of the Terrorism Insurance Program established under the Terrorism Risk Insurance Act of 2002, and for other purposes.",On Passage of the Bill,
114,Senate,3,2015-01-12,1,3,63,32,-0.194,-0.171,-0.336,-0.459,-12.545,S1,Cloture on the Motion to Proceed Agreed to,A bill to approve the Keystone XL Pipeline.,On Cloture on the Motion to Proceed,
114,Senate,4,2015-01-20,1,4,57,42,-0.077,-0.122,-0.401,-0.198,-5.404,S1,Motion to Table Agreed to,To ensure that oil transported through the Keystone XL pipeline into the United States is used to reduce United States dependence on Middle Eastern oil.,On the Motion to Table,
114,Senate,5,2015-01-20,1,5,53,46,0.123,-0.088,-0.263,0.195,-6.789,S1,Motion to Table Agreed to,"To require the use of iron, steel, and manufactured goods produced in the United States in the construction of the Keystone XL Pipeline and facilities.",On the Motion to Table,
114,Senate,6,2015-01-20,1,6,94,5,0.766,-0.138,0.398,0.155,-6.163,S1,Amendment Agreed to,To promote energy efficiency.,On the Amendment,
114,Senate,7,2015-01-21,1,7,54,45,0.036,-0.092,-0.459,0.166,-0.383,S1,Amendment Rejected,To conform citizen suits under the Endangered Species Act of 1973.,On the Amendment,
114,Senate,8,2015-01-21,1,8,41,58,-0.047,-0.116,0.31,0.715,-7.185,S1,Amendment Rejected,To ensure that the storage and transportation of petroleum coke is regulated in a manner that ensures the protection of public and ecological health.,On the Amendment,
114,Senate,9,2015-01-21,1,9,54,45,0.071,-0.116,-0.248,-0.616,-11.569,S1,Amendment Rejected,"To continue cleaning up fields and streams while protecting neighborhoods, generating affordable energy, and creating jobs.",On the Amendment,
114,Senate,10,2015-01-21,1,10,98,1,0.0,0.0,0.0,0.0,0.0,S1,Amendment Agreed to,To express the sense of the Senate that climate change is real and not a hoax.,On the Amendment,
114,Senate,11,2015-01-21,1,11,59,40,0.291,-0.028,0.171,0.806,-25.525,S1,Amendment Rejected,To express the sense of Congress regarding climate change.,On the Amendment,
114,Senate,12,2015-01-21,1,12,50,49,0.218,-0.074,0.338,0.416,-8.764,S1,Amendment Rejected,To express the sense of Congress regarding climate change.,On the Amendment,
114,Senate,13,2015-01-22,1,13,55,44,0.199,0.052,0.174,0.47,-23.7,S1,Amendment Rejected,To express the sense of Congress regarding federally protected land.,On the Amendment,
114,Senate,14,2015-01-22,1,14,54,45,0.055,-0.101,-0.178,-0.335,-19.403,S1,Amendment Rejected,To provide limits on the designation of new federally protected land.,On the Amendment,
114,Senate,15,2015-01-22,1,15,53,46,0.119,-0.089,-0.385,-0.163,-3.74,S1,Motion to Table Agreed to,To express the sense of Congress regarding climate change.,On the Motion to Table,
114,Senate,16,2015-01-22,1,16,56,42,-0.082,-0.112,-0.365,-0.028,-7.185,S1,Motion to Table Agreed to,To express the sense of Congress regarding climate change.,On the Motion to Table,
114,Senate,17,2015-01-22,1,17,51,47,0.101,-0.065,-0.21,-0.422,-13.113,S1,Amendment Rejected,To require a procedure for issuing permits to drill.,On the Amendment,
114,Senate,18,2015-01-22,1,18,75,23,0.513,-0.01,0.242,0.24,-32.39,S1,Amendment Agreed to,To express the sense of the Senate that all forms of unrefined and unprocessed petroleum should be subject to the nominal per-barrel excise tax associated with the Oil Spill Liability Trust Fund.,On the Amendment,
114,Senate,19,2015-01-22,1,19,50,47,0.209,-0.064,0.294,0.386,-9.967,S1,Amendment Rejected,To amend the Internal Revenue Code of 1986 to clarify that products derived from tar sands are crude oil for purposes of the Federal excise tax on petroleum.,On the Amendment,
114,Senate,20,2015-01-22,1,20,51,46,0.097,-0.097,-0.328,-0.531,-4.78,S1,Amendment Rejected,"To express the sense of the Senate regarding the conditions for the President entering into bilateral or other international agreements regarding greenhouse gas emissions without proper study of any adverse economic effects, including job losses and harm to the industrial sector, and without the approval of the Senate.",On the Amendment,
114,Senate,21,2015-01-22,1,21,64,33,-0.21,-0.177,-0.345,-0.49,-15.93,S1,Amendment Agreed to,To ensure private property is protected as guaranteed by the United States Constitution.,On the Amendment,
114,Senate,22,2015-01-22,1,22,43,54,-0.045,0.013,0.219,0.502,-13.309,S1,Amendment Rejected,To ensure private property cannot be seized through condemnation or eminent domain for the private gain of a foreign-owned business entity.,On the Amendment,
114,Senate,23,2015-01-22,1,23,89,5,0.457,-0.89,0.103,-0.384,-22.349,S1,Motion for Attendance Agreed to,A bill to approve the Keystone XL Pipeline.,On the Motion for Attendance,
114,Senate,24,2015-01-22,1,24,53,42,-0.066,-0.113,-0.356,0.047,-6.629,S1,Motion to Table Agreed to,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.,On the Motion to Table,
114,Senate,25,2015-01-22,1,25,57,38,-0.116,-0.081,-0.303,0.248,-12.071,S1,Motion to Table Agreed to,To impose a fee of 8 cents per barrel on oil transported through the pipeline.,On the Motion to Table,
